exchangeId,rank,baseSymbol,baseId,quoteSymbol,quoteId,priceQuote,priceUsd,volumeUsd24Hr,percentExchangeVolume,tradesCount24Hr,updated
bibox,27,MKR,maker,USDT,tether,2028.2000000000000000,2028.3574526007512239,2882547.6593055352423319,1.0648132994739708,,1733990565609
bibox,28,BAL,balancer,USDT,tether,3.8020000000000000,3.8022951556986767,2763106.9998366429745038,1.0206919118223755,,1733988374472
bibox,29,YGG,yield-guild-games,USDT,tether,0.7236570000000000,0.7237131787184212,2386956.4293004953635825,0.8817418657342883,,1733983281539
bibox,30,WIN,wink,USDT,tether,0.0001377700000000,0.0001377806953184,2123361.1599415571303020,0.7843697554811511,,1733944915535
bibox,31,XRP,xrp,ETH,ethereum,0.0006193400000000,2.4215648632686317,2120286.6391675959686586,0.7832340273001949,,1733989963320
bibox,32,UMA,uma,ETH,ethereum,0.0010238200000000,4.0030460462939427,2063798.6362609632242974,0.7623673552222740,,1733988376996
bibox,33,FTM,fantom,USDT,tether,1.3066300000000000,1.3067314358996744,1964326.4403202880003175,0.7256223193427875,,1733989960833
bibox,34,ALICE,myneighboralice,USDT,tether,1.6318000000000000,1.6319266793974489,1943220.6089741941489963,0.7178258238221585,,1733973472035
bibox,35,UNI,uniswap,USDT,tether,18.5280000000000000,18.5294383600171180,1856677.7513021785829275,0.6858568863698471,,1733988419734
bibox,36,AXS,axie-infinity,USDT,tether,8.2426000000000000,8.2432398869968208,1841873.6798894166281981,0.6803882613929858,,1733973925922
bibox,37,AVAX,avalanche,USDT,tether,48.2537000000000000,48.2574460164485107,1822230.4490250831453119,0.6731320505888186,,1733955348903
bibox,38,BCH,bitcoin-cash,USDT,tether,556.9900000000000000,557.0332400769610611,1814420.5850766527410738,0.6702470863203095,,1733990532877
bibox,39,DOGE,dogecoin,USDT,tether,0.4171920000000000,0.4172243873214735,1810146.2948020716056886,0.6686681632050252,,1733988313791
bibox,40,XRP,xrp,USDT,tether,2.4213600000000000,2.4215479742773666,1804912.6966436686565960,0.6667348716928520,,1733989964569
bibox,41,LTC,litecoin,ETH,ethereum,0.0311363000000000,121.7401912555157038,1740440.3345597154302102,0.6429187767971186,,1733990542906
bibox,42,SXP,swipe,USDT,tether,0.3676020000000000,0.3676305375657930,1668982.1976399948740003,0.6165221362065926,,1733927885474
bibox,43,XRP,xrp,BTC,bitcoin,0.0000240800000000,2.4203821168369473,1626670.2416192138301268,0.6008920968029978,,1733989962075
bibox,44,TRB,tellor,USDT,tether,80.2180000000000000,80.2242274591889664,1562125.0901031023467495,0.5770491134861231,,1733988387031
bibox,45,TLM,alien-worlds,USDT,tether,0.0192960000000000,0.0192974979811577,1540173.6703477759800477,0.5689402575501770,,1733973930941
bibox,46,BSV,bitcoin-sv,ETH,ethereum,0.0174523000000000,68.2369562166550527,1504429.3993450744390142,0.5557363214345646,,1733988369468
bibox,47,PHA,phala-network,USDT,tether,0.1801080000000000,0.1801219820890524,1495386.5958750490786538,0.5523959092237454,,1733988414650
bibox,48,LINK,chainlink,ETH,ethereum,0.0074496100000000,29.1273191155982677,1487194.1006151649589048,0.5493696009230169,,1733988336618
bibox,49,XEC,ecash,USDT,tether,0.0000461100000000,0.0000461135795974,1470466.7951480555293300,0.5431905331569585,,1733973924665
bibox,50,YFI,yearn-finance,USDT,tether,11743.7400000000000000,11744.6516864241919819,1399060.9380690103904178,0.5168132047430988,,1733988400925
bibox,51,ZEN,horizen,USDT,tether,16.1485000000000000,16.1497536354024411,1355537.8610560449499186,0.5007357771634276,,1733988851604
bibox,52,BSV,bitcoin-sv,USDT,tether,68.6300000000000000,68.6353278631247197,1323861.4231553656886470,0.4890344988696523,,1733988366943
bibox,53,OMG,omg,USDT,tether,0.5060000000000000,0.5060392816369096,1294275.7186935147320912,0.4781055376489816,,1733988330169
bibox,54,TKO,tokocrypto,USDT,tether,0.5579540000000000,0.5579973149139136,1284375.8884163034524502,0.4744485396778711,,1733983279012
bibox,55,AAVE,aave,ETH,ethereum,0.0904238800000000,353.5494084160867329,1280051.0533729071330347,0.4728509453215824,,1733988439797
bibox,56,BAT,basic-attention-token,USDT,tether,0.3053000000000000,0.3053237009560247,1183695.2189922366795946,0.4372570936122345,,1733988334076
bibox,57,ALGO,algorand,ETH,ethereum,0.0001187400000000,0.4642629442059569,1056954.3329119953326687,0.3904390017587697,,1733988325119
bibox,58,ETC,ethereum-classic,ETH,ethereum,0.0088677000000000,34.6719261439713969,1055456.0817588390223521,0.3898855476818934,,1733990524090
bibox,59,ZIL,zilliqa,USDT,tether,0.0281000000000000,0.0281021814505873,1038034.4626638294069832,0.3834500004149298,,1733940811060
bibox,60,KSM,kusama,USDT,tether,39.9821640000000000,39.9852678831010068,949618.6118296106041031,0.3507891791623630,,1733988353050
bibox,61,XEM,nem,USDT,tether,0.0314000000000000,0.0314024376351758,946715.1991090599667613,0.3497166583078599,,1733927896479
bibox,62,TRX,tron,USDT,tether,0.2939510000000000,0.2939738199139352,916361.5863273332659250,0.3385040317021120,,1733990574428
