id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
steth,10,STETH,Lido Staked ETH,9844099.5083301500000000,,38283182880.7583558512491794,283424.1637827642440013,3888.9471655952728454,6.1094846317374797,3869.1715610484844324,https://etherscan.io/token/0xae7ab96520de3a18e5e111b5eaab095312d7fe84
tron,11,TRX,TRON,86252824283.2544300000000000,,25367429392.2679874174833121,669454717.8186088337992521,0.2941054928121693,8.6163592050479295,0.2824736479911012,https://tronscan.org/#/
avalanche,12,AVAX,Avalanche,409685030.3568282000000000,715748719.0000000000000000,20697109760.8240833725897022,372910366.9239917194428963,50.5195655862682552,13.1663217118528796,47.7434374048306607,https://avascan.info/
chainlink,13,LINK,Chainlink,626849970.4527867000000000,,18121055974.0322522588578119,1170646591.6532488159439913,28.9081228813699053,27.5369851084870852,25.8870670433118063,https://etherscan.io/token/0x514910771af9ca656af840dff83e8264ecf986ca
shiba-inu,14,SHIB,Shiba Inu,589255623215219.5000000000000000,,17173087568.6937693243562367,537270402.5259399217678635,0.0000291436973906,7.6804302325727199,0.0000286715558356,https://etherscan.io/token/0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce
polkadot,15,DOT,Polkadot,1522267060.0000000000000000,,14190833329.5904589249450500,466288036.4637222278401496,9.3221706640557925,10.6989879685046260,9.0636715561917675,https://polkascan.io/polkadot
wrapped-bitcoin,16,WBTC,Wrapped Bitcoin,136236.2332860400000000,,13678848837.4674937717969654,87767557.5942151202193248,100405.3657938967157152,2.8845122206950939,100183.7974422398927403,https://etherscan.io/token/0x2260fac5e5542a773aa44fbcfedf7c193bc2c599
stellar,17,XLM,Stellar,30171794740.2264630000000000,50001806812.0000000000000000,13371583969.5740960586675437,433987658.8852163453359530,0.4431815901142423,7.7102059157468295,0.4330778556950345,https://dashboard.stellar.org/
uniswap,18,UNI,Uniswap,600483073.7100000000000000,,11063868040.7225781176344814,482203157.5051128120499333,18.4249457230593187,19.2494902293735908,17.0508965202377181,https://etherscan.io/token/0x1f9840a85d5af5bf1d1762f925bdaddc4201f984
bitcoin-cash,19,BCH,Bitcoin Cash,19800756.2500000000000000,21000000.0000000000000000,10999012697.0175611181165275,122200128.9915126169462345,555.4844753476302764,6.2610457019858569,545.6303399913905217,https://blockchair.com/bitcoin-cash/blocks
litecoin,20,LTC,Litecoin,75296162.0541093600000000,84000000.0000000000000000,9178148703.7073856594344678,585145701.1553876161730886,121.8939777715599971,10.6516991146963022,117.0839812694286375,http://explorer.litecoin.net/chain/Litecoin
unus-sed-leo,21,LEO,UNUS SED LEO,924539555.9000000000000000,,8881536119.5148236743192001,299503.0898301839803923,9.6064425397883873,6.5351715175672897,9.2863177952900532,https://eospark.com/account/bitfinexleo1
